Full_Filepath,Filepath,Filename,Extension,Alt_Data_Stream,Directory_Depth,Filename_Length,Is_Common_Extension,Contains_Double_Ext,Contains_ADS,Is_Malicious
\windows\winsxs\manifests\amd64_microsoft-windows-d..rtcards-phone-winrt_31bf3856ad364e35_10.0.22454.1000_none_c81de72acc7442f1.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-d..rtcards-phone-winrt_31bf3856ad364e35_10.0.22454.1000_none_c81de72acc7442f1,manifest,,3,101,0,0,0,0
\windows\syswow64\windowspowershell\v<version>\modules\psdesiredstateconfiguration\dscresources\msft_archiveresource\en-gb\msft_archiveresource.schema.mfl,\windows\syswow64\windowspowershell\v<version>\modules\psdesiredstateconfiguration\dscresources\msft_archiveresource\en-gb,msft_archiveresource.schema,mfl,,9,27,0,0,0,0
\windows\syswow64\atl.dll,\windows\syswow64,atl,dll,,2,3,1,0,0,0
\users\<username>\downloads\invoice_05_2022.pdf:zone.identifier,\users\<username>\downloads,invoice_05_2022,pdf,zone.identifier,3,15,1,0,1,0
\.oracleservices\svshost_serv.exe,\.oracleservices,svshost_serv,exe,,1,12,1,0,0,1
\rsr\yfoye.exe,\rsr,yfoye,exe,,1,5,1,0,0,1
\system32\mswmpdat.tlb,\system32,mswmpdat,tlb,,1,8,0,0,0,1
\windows\syswow64\eventvwr.exe,\windows\syswow64,eventvwr,exe,,2,8,1,0,0,0
\windows\syswow64\dmalertlistener.proxystub.dll,\windows\syswow64,dmalertlistener.proxystub,dll,,2,25,1,0,0,0
\windows\winsxs\amd64_microsoft-windows-errorreportingfaults_31bf3856ad364e35_<version>_none_e4f8ec6cc2549448\r\faultrep.dll,\windows\winsxs\amd64_microsoft-windows-errorreportingfaults_31bf3856ad364e35_<version>_none_e4f8ec6cc2549448\r,faultrep,dll,,4,8,1,0,0,0
\windows\syswow64\en-us\mccsengineshared.dll.mui,\windows\syswow64\en-us,mccsengineshared.dll,mui,,3,20,1,1,0,0
\e\e.jsp,\e,e,jsp,,1,1,0,0,0,1
\programdata\tpm\winscard.dll,\programdata\tpm,winscard,dll,,2,8,1,0,0,1
\programdata\craftmanager3.exe,\programdata,craftmanager3,exe,,1,13,1,0,0,1
\program files\gimp 2\share\locale\zh_hk\lc_messages\gsettings-desktop-schemas.mo,\program files\gimp 2\share\locale\zh_hk\lc_messages,gsettings-desktop-schemas,mo,,6,25,0,0,0,0
\program files\inkscape\share\inkscape\icons\tango\scalable\actions\draw-geometry-angle-bisector.svg,\program files\inkscape\share\inkscape\icons\tango\scalable\actions,draw-geometry-angle-bisector,svg,,8,28,0,0,0,0
\users\<username>\downloads\profile_picture.jpg:zone.identifier,\users\<username>\downloads,profile_picture,jpg,zone.identifier,3,15,1,0,1,0
\program files\zoom\resources\emojis\1f468-1f3fb-1f37c.svg,\program files\zoom\resources\emojis,1f468-1f3fb-1f37c,svg,,4,17,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-profsvcext_31bf3856ad364e35_<version>_none_1534b42547b8d8b4\profsvcext.dll,\windows\winsxs\amd64_microsoft-windows-profsvcext_31bf3856ad364e35_<version>_none_1534b42547b8d8b4,profsvcext,dll,,3,10,1,0,0,0
\users\<username>\desktop\meeting_minutes_11_2020.txt:zone.identifier,\users\<username>\desktop,meeting_minutes_11_2020,txt,zone.identifier,3,23,1,0,1,0
\desktop\proc64\proc.exe,\desktop\proc64,proc,exe,,2,4,1,0,0,1
\program files\microsoft office\root\licenses16\visiostdvl_mak-ul-oob.xrm-ms,\program files\microsoft office\root\licenses16,visiostdvl_mak-ul-oob,xrm-ms,,4,21,0,0,0,0
\users\<username>\documents\expenses_01_2021.xlsx:zone.identifier,\users\<username>\documents,expenses_01_2021,xlsx,zone.identifier,3,16,1,0,1,0
\system32\godown.dll,\system32,godown,dll,,1,6,1,0,0,1
\windows\winsxs\amd64_microsoft-windows-userexperience-desktop_31bf3856ad364e35_<version>_none_82242e9c4e69eee9\f\webapps\guidedsetup\network\area-content\bg-bg\area-content.local.json,\windows\winsxs\amd64_microsoft-windows-userexperience-desktop_31bf3856ad364e35_<version>_none_82242e9c4e69eee9\f\webapps\guidedsetup\network\area-content\bg-bg,area-content.local,json,,9,18,0,0,0,0
\windows\system32\dvdquery.exe,\windows\system32,dvdquery,exe,,2,8,1,0,0,1
\program files (x86)\mediamonkey\controls\menupanelplayer.html,\program files (x86)\mediamonkey\controls,menupanelplayer,html,,3,15,1,0,0,0
\kqgfyojlmw\kqgfyojlmw.jsp,\kqgfyojlmw,kqgfyojlmw,jsp,,1,10,0,0,0,1
\windows\winsxs\manifests\amd64_microsoft-windows-i..timezones.resources_31bf3856ad364e35_10.0.14393.1884_bg-bg_51a436c58e3d4c9b.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-i..timezones.resources_31bf3856ad364e35_10.0.14393.1884_bg-bg_51a436c58e3d4c9b,manifest,,3,102,0,0,0,0
\roaming\hp\fywhx.dll,\roaming\hp,fywhx,dll,,2,5,1,0,0,1
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_796_for_kb4505056~31bf3856ad364e35~amd64~~10.0.1.0.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_796_for_kb4505056~31bf3856ad364e35~amd64~~10.0.1.0,cat,,4,58,0,0,0,0
\rs\browser.jsp,\rs,browser,jsp,,1,7,0,0,0,1
\windows\winsxs\amd64_microsoft-windows-pktmon-setup.resources_31bf3856ad364e35_<version>_en-us_ca530f6c72317faf\pktmon.sys.mui,\windows\winsxs\amd64_microsoft-windows-pktmon-setup.resources_31bf3856ad364e35_<version>_en-us_ca530f6c72317faf,pktmon.sys,mui,,3,10,1,0,0,0
